==============================================================================
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,-0.82824,1,-1.00,-3.86510,941.00
5,0.00000,0.00000,-0.78540,1,-1.00,-3.69316,492.00
10,0.00000,0.00000,-0.75684,1,-1.00,-3.57053,270.00
15,0.00000,0.00000,-0.79968,1,-1.00,-3.75182,844.00
20,0.00000,0.00000,-0.77112,1,-1.00,-3.66057,751.00
25,0.00000,0.00000,-0.71400,1,-1.00,-3.46564,238.00
30,0.00000,0.00000,-0.75684,1,-1.00,-3.68305,670.00
35,0.00000,0.00000,-0.72828,1,-1.00,-3.62323,902.00
40,0.00000,0.00000,-0.64260,1,-1.00,-3.34048,292.00
45,0.00000,0.00000,-0.67116,1,-1.00,-3.52374,417.00
50,0.00000,0.00000,-0.71400,1,-1.00,-3.77135,903.00
55,0.00000,0.00000,-0.59976,1,-1.00,-3.39249,440.00
60,0.00000,0.00000,-0.55692,1,-1.00,-3.30218,246.00
65,0.00000,0.00000,-0.61404,1,-1.00,-3.61737,822.00
70,0.00000,0.00000,-0.55692,1,-1.00,-3.47790,723.00
75,0.00000,0.00000,-0.48552,1,-1.00,-3.28285,211.00
80,0.00000,0.00000,-0.51408,1,-1.00,-3.49180,611.00
85,0.00000,0.00000,-0.48552,1,-1.00,-3.46795,872.00
90,0.00000,0.00000,-0.39984,1,-1.00,-3.15461,266.00
95,0.00000,0.00000,-0.39984,1,-1.00,-3.28336,394.00
100,0.00000,0.00000,-0.42840,1,-1.00,-3.52837,880.00
105,0.00000,0.00000,-0.32844,1,-1.00,-3.02030,410.00
110,0.00000,0.00000,-0.29988,1,-1.00,-3.30391,224.00
115,0.00000,0.00000,-0.32844,1,-1.00,-3.46225,799.00
120,0.00000,0.00000,-0.28560,1,-1.00,-3.00603,682.00
125,0.00000,0.00000,-0.21420,1,-1.00,-2.34056,185.00
130,0.00000,0.00000,-0.15708,1,-1.00,-1.70583,623.00
135,0.00000,0.00000,-0.19992,1,-1.00,-1.46095,848.00
140,0.00000,0.00000,-0.11424,1,-1.00,-0.83189,243.00
