==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
0,0.00000,0.00000,0.59976,1,0.00,2.48783
5,0.00000,0.00000,0.57120,1,0.00,2.37320
10,0.00000,0.00000,0.61404,1,0.00,2.53942
15,0.00000,0.00000,0.62832,1,0.00,2.60346
20,0.00000,0.00000,0.61404,1,0.00,2.56251
25,0.00000,0.00000,0.55692,1,0.00,2.35900
30,0.00000,0.00000,0.57120,1,0.00,2.45090
35,0.00000,0.00000,0.57120,1,0.00,2.49328
40,0.00000,0.00000,0.54264,1,0.00,2.42620
45,0.00000,0.00000,0.52836,1,0.00,2.42162
50,0.00000,0.00000,0.52836,1,0.00,2.47958
55,0.00000,0.00000,0.47124,1,0.00,2.31268
60,0.00000,0.00000,0.55692,1,0.00,2.72105
65,0.00000,0.00000,0.45696,1,0.00,2.38660
70,0.00000,0.00000,0.42840,1,0.00,2.34058
75,0.00000,0.00000,0.49980,1,0.00,2.70099
80,0.00000,0.00000,0.37128,1,0.00,2.26011
85,0.00000,0.00000,0.47124,1,0.00,2.73258
90,0.00000,0.00000,0.32844,1,0.00,2.19068
95,0.00000,0.00000,0.38556,1,0.00,2.51964
100,0.00000,0.00000,0.31416,1,0.00,2.33175
105,0.00000,0.00000,0.41412,1,0.00,2.66771
110,0.00000,0.00000,0.22848,1,0.00,2.22227
115,0.00000,0.00000,0.32844,1,0.00,2.64980
120,0.00000,0.00000,0.19992,1,0.00,1.96669
125,0.00000,0.00000,0.18564,1,0.00,1.62981
130,0.00000,0.00000,0.18564,1,0.00,1.32440
135,0.00000,0.00000,0.15708,1,0.00,0.88715
140,0.00000,0.00000,0.09996,1,0.00,0.41773
145,0.00000,0.00000,0.09996,1,0.00,0.26437
150,0.00000,0.00000,0.11424,1,0.00,0.20438
155,0.00000,0.00000,0.05712,1,0.00,-0.69996
160,0.00000,0.00000,0.04284,1,0.00,-0.76114
165,0.00000,0.00000,0.05712,1,0.00,-0.74683
170,0.00000,0.00000,0.04284,1,0.00,-0.71771
175,0.00000,0.00000,0.01428,1,0.00,-0.83079
180,0.00000,0.00000,0.05712,1,0.00,-0.65850
185,0.00000,0.00000,0.04284,1,0.00,-0.63304
190,0.00000,0.00000,0.02856,1,0.00,-0.71882
195,0.00000,0.00000,0.04284,1,0.00,-0.58287
200,0.00000,0.00000,0.05712,1,0.00,-0.00369
