==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
0,0.00000,0.00000,0.58548,1,0.00,2.43050
5,0.00000,0.00000,0.65688,1,0.00,2.71718
10,0.00000,0.00000,0.65688,1,0.00,2.71155
15,0.00000,0.00000,0.61404,1,0.00,2.54516
20,0.00000,0.00000,0.62832,1,0.00,2.61993
25,0.00000,0.00000,0.62832,1,0.00,2.64806
30,0.00000,0.00000,0.59976,1,0.00,2.56943
35,0.00000,0.00000,0.57120,1,0.00,2.49814
40,0.00000,0.00000,0.58548,1,0.00,2.60568
45,0.00000,0.00000,0.54264,1,0.00,2.48959
50,0.00000,0.00000,0.49980,1,0.00,2.37791
55,0.00000,0.00000,0.52836,1,0.00,2.55819
60,0.00000,0.00000,0.49980,1,0.00,2.51156
65,0.00000,0.00000,0.44268,1,0.00,2.35072
70,0.00000,0.00000,0.42840,1,0.00,2.36552
75,0.00000,0.00000,0.45696,1,0.00,2.55592
80,0.00000,0.00000,0.38556,1,0.00,2.34595
85,0.00000,0.00000,0.41412,1,0.00,2.53342
90,0.00000,0.00000,0.37128,1,0.00,2.39325
95,0.00000,0.00000,0.34272,1,0.00,2.37146
100,0.00000,0.00000,0.28560,1,0.00,2.24673
105,0.00000,0.00000,0.38556,1,0.00,2.59367
110,0.00000,0.00000,0.27132,1,0.00,2.39983
115,0.00000,0.00000,0.19992,1,0.00,2.17948
120,0.00000,0.00000,0.29988,1,0.00,2.41746
125,0.00000,0.00000,0.21420,1,0.00,1.73968
130,0.00000,0.00000,0.19992,1,0.00,1.33281
135,0.00000,0.00000,0.17136,1,0.00,0.92059
140,0.00000,0.00000,0.15708,1,0.00,0.61376
145,0.00000,0.00000,0.11424,1,0.00,0.23858
150,0.00000,0.00000,0.07140,1,0.00,-0.65298
155,0.00000,0.00000,0.08568,1,0.00,-0.65291
160,0.00000,0.00000,0.07140,1,0.00,-0.75541
