==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
0,0.00000,0.00000,0.64260,1,0.00,2.81582
5,0.00000,0.00000,0.71400,1,0.00,3.10250
10,0.00000,0.00000,0.68544,1,0.00,2.98166
15,0.00000,0.00000,0.67116,1,0.00,2.93054
20,0.00000,0.00000,0.67116,1,0.00,2.94989
25,0.00000,0.00000,0.65688,1,0.00,2.92261
30,0.00000,0.00000,0.62832,1,0.00,2.84688
35,0.00000,0.00000,0.61404,1,0.00,2.83640
40,0.00000,0.00000,0.61404,1,0.00,2.89021
45,0.00000,0.00000,0.58548,1,0.00,2.83502
50,0.00000,0.00000,0.54264,1,0.00,2.72749
55,0.00000,0.00000,0.55692,1,0.00,2.85458
60,0.00000,0.00000,0.49980,1,0.00,2.69768
65,0.00000,0.00000,0.48552,1,0.00,2.71358
70,0.00000,0.00000,0.47124,1,0.00,2.73359
75,0.00000,0.00000,0.44268,1,0.00,2.69899
80,0.00000,0.00000,0.41412,1,0.00,2.66563
85,0.00000,0.00000,0.39984,1,0.00,2.68634
90,0.00000,0.00000,0.38556,1,0.00,2.66074
95,0.00000,0.00000,0.34272,1,0.00,2.58869
100,0.00000,0.00000,0.32844,1,0.00,2.64413
105,0.00000,0.00000,0.31416,1,0.00,2.51967
110,0.00000,0.00000,0.29988,1,0.00,2.75149
115,0.00000,0.00000,0.24276,1,0.00,2.59862
120,0.00000,0.00000,0.24276,1,0.00,2.39521
125,0.00000,0.00000,0.34272,1,0.00,2.44332
130,0.00000,0.00000,0.17136,1,0.00,1.38290
135,0.00000,0.00000,0.17136,1,0.00,1.05219
140,0.00000,0.00000,0.15708,1,0.00,0.72589
145,0.00000,0.00000,0.12852,1,0.00,0.41208
150,0.00000,0.00000,0.08568,1,0.00,-0.30441
155,0.00000,0.00000,0.11424,1,0.00,-0.24814
160,0.00000,0.00000,0.08568,1,0.00,-0.40210
165,0.00000,0.00000,0.07140,1,0.00,-0.42932
170,0.00000,0.00000,0.08568,1,0.00,-0.34971
175,0.00000,0.00000,0.05712,1,0.00,-0.42082
180,0.00000,0.00000,0.04284,1,0.00,-0.41649
185,0.00000,0.00000,0.05712,1,0.00,-0.29682
190,0.00000,0.00000,0.08568,1,0.00,0.30645
195,0.00000,0.00000,0.07140,1,0.00,0.30025
200,0.00000,0.00000,0.04284,1,0.00,0.00449
205,0.00000,0.00000,0.08568,1,0.00,0.44549
210,0.00000,0.00000,0.05712,1,0.00,0.35877
215,0.00000,0.00000,0.04284,1,0.00,0.32246
220,0.00000,0.00000,0.07140,1,0.00,0.49044
225,0.00000,0.00000,0.07140,1,0.00,0.48909
230,0.00000,0.00000,0.04284,1,0.00,0.35946
235,0.00000,0.00000,0.04284,1,0.00,0.45898
240,0.00000,0.00000,0.07140,1,0.00,0.52724
245,0.00000,0.00000,0.05712,1,0.00,0.44088
250,0.00000,0.00000,0.04284,1,0.00,0.38673
255,0.00000,0.00000,0.08568,1,0.00,0.57488
260,0.00000,0.00000,0.07140,1,0.00,0.51287
265,0.00000,0.00000,0.01428,1,0.00,0.32665
270,0.00000,0.00000,0.04284,1,0.00,0.46677
275,0.00000,0.00000,0.04284,1,0.00,0.47498
280,0.00000,0.00000,0.01428,1,0.00,0.38293
285,0.00000,0.00000,0.02856,1,0.00,0.44529
290,0.00000,0.00000,0.04284,1,0.00,0.49545
295,0.00000,0.00000,0.01428,1,0.00,0.37418
300,0.00000,0.00000,0.01428,1,0.00,0.39323
305,0.00000,0.00000,0.04284,1,0.00,0.50760
310,0.00000,0.00000,0.00000,1,0.00,0.29273
315,0.00000,0.00000,-0.01428,1,0.00,0.00059
320,0.00000,0.00000,0.01428,1,0.00,0.33534
325,0.00000,0.00000,0.02856,1,0.00,0.35985
330,0.00000,0.00000,-0.01428,1,0.00,-0.25748
335,0.00000,0.00000,0.01428,1,0.00,0.29854
340,0.00000,0.00000,0.00000,1,0.00,-0.21481
345,0.00000,0.00000,0.00000,1,0.00,-0.23773
350,0.00000,0.00000,-0.01428,1,0.00,-0.28128
355,0.00000,0.00000,0.02856,1,0.00,0.33447
360,0.00000,0.00000,0.00000,1,0.00,-0.24381
365,0.00000,0.00000,0.00000,1,0.00,-0.23242
370,0.00000,0.00000,0.01428,1,0.00,0.27254
375,0.00000,0.00000,0.01428,1,0.00,-0.00687
380,0.00000,0.00000,-0.01428,1,0.00,-0.32895
385,0.00000,0.00000,0.00000,1,0.00,-0.25579
390,0.00000,0.00000,0.01428,1,0.00,-0.00263
395,0.00000,0.00000,0.00000,1,0.00,-0.25632
400,0.00000,0.00000,-0.01428,1,0.00,-0.28345
405,0.00000,0.00000,0.01428,1,0.00,0.27074
410,0.00000,0.00000,0.00000,1,0.00,-0.23250
415,0.00000,0.00000,-0.01428,1,0.00,-0.26340
420,0.00000,0.00000,0.00000,1,0.00,-0.00401
425,0.00000,0.00000,0.01428,1,0.00,0.27251
430,0.00000,0.00000,-0.01428,1,0.00,-0.26627
435,0.00000,0.00000,0.00000,1,0.00,0.25976
440,0.00000,0.00000,0.00000,1,0.00,0.00938
445,0.00000,0.00000,0.00000,1,0.00,0.25228
450,0.00000,0.00000,0.00000,1,0.00,0.25439
455,0.00000,0.00000,0.02856,1,0.00,0.37226
460,0.00000,0.00000,0.01428,1,0.00,0.29760
465,0.00000,0.00000,0.00000,1,0.00,0.26392
470,0.00000,0.00000,0.01428,1,0.00,0.31808
475,0.00000,0.00000,0.01428,1,0.00,0.30511
480,0.00000,0.00000,-0.01428,1,0.00,-0.24954
485,0.00000,0.00000,0.00000,1,0.00,0.25141
490,0.00000,0.00000,0.01428,1,0.00,0.28953
495,0.00000,0.00000,0.00000,1,0.00,-0.21474
500,0.00000,0.00000,0.00000,1,0.00,-0.00070
505,0.00000,0.00000,0.01428,1,0.00,0.29528
510,0.00000,0.00000,0.01428,1,0.00,0.27885
515,0.00000,0.00000,-0.01428,1,0.00,-0.26121
520,0.00000,0.00000,0.00000,1,0.00,0.00526
525,0.00000,0.00000,0.01428,1,0.00,0.28868
530,0.00000,0.00000,-0.02856,1,0.00,-0.31932
535,0.00000,0.00000,0.01428,1,0.00,0.30913
540,0.00000,0.00000,0.01428,1,0.00,0.29949
545,0.00000,0.00000,-0.01428,1,0.00,-0.25292
550,0.00000,0.00000,0.00000,1,0.00,0.24788
555,0.00000,0.00000,0.01428,1,0.00,0.30962
560,0.00000,0.00000,0.00000,1,0.00,0.00842
565,0.00000,0.00000,-0.02856,1,0.00,-0.29441
570,0.00000,0.00000,0.00000,1,0.00,0.25789
575,0.00000,0.00000,0.00000,1,0.00,0.00029
580,0.00000,0.00000,-0.02856,1,0.00,-0.32414
585,0.00000,0.00000,-0.01428,1,0.00,-0.26281
