==============================================================================
NEW TEST STARTED -> SINE WAVE FREQUENCY: 1.00 Hz
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,-0.77072,1,1.00,-3.00824,0.00
4,0.00987,0.00987,-0.60923,1,1.00,-2.52236,0.00
8,0.01973,0.01973,-0.47711,1,1.00,-2.13697,29.00
12,0.02958,0.02958,-0.35967,1,1.00,-1.80874,10.00
20,0.04922,0.04922,-0.19818,1,1.00,-1.40451,0.00
24,0.05899,0.05899,-0.13946,1,1.00,-1.27676,30.00
28,0.06873,0.06873,-0.09542,1,1.00,-1.19672,21.00
32,0.07843,0.07843,-0.06606,1,1.00,-1.16434,0.00
36,0.08807,0.08807,-0.02202,1,1.00,-1.08416,0.00
40,0.09766,0.09766,-0.00734,1,1.00,-1.09633,27.00
48,0.11665,0.11665,0.05138,1,1.00,-1.02395,0.00
52,0.12603,0.12603,0.06606,1,1.00,-1.03187,0.00
56,0.13534,0.13534,0.08074,1,1.00,-1.03955,16.00
60,0.14456,0.14456,0.09542,1,1.00,-1.04720,29.00
64,0.15369,0.15369,0.11010,1,1.00,-1.05654,33.00
68,0.16272,0.16272,0.11010,1,1.00,-1.11110,0.00
72,0.17165,0.17165,0.12478,1,1.00,-0.75209,22.00
80,0.18918,0.18918,0.13946,1,1.00,-1.32074,0.00
84,0.19777,0.19777,0.15414,1,1.00,-1.08757,0.00
88,0.20624,0.20624,0.15414,1,1.00,-1.34278,9.00
92,0.21457,0.21457,0.15414,1,1.00,-1.30458,34.00
96,0.22277,0.22277,0.16882,1,1.00,-1.02440,0.00
100,0.23082,0.23082,0.16882,1,1.00,-0.72283,0.00
108,0.24649,0.24649,0.18350,1,1.00,0.35174,30.00
112,0.25410,0.25410,0.19818,1,1.00,0.47025,11.00
116,0.26154,0.26154,0.19818,1,1.00,0.45360,0.00
120,0.26882,0.26882,0.19818,1,1.00,0.36805,0.00
124,0.27593,0.27593,0.19818,1,1.00,0.27469,30.00
128,0.28286,0.28286,0.19818,1,1.00,0.15156,18.00
132,0.28962,0.28962,0.19818,1,1.00,-0.59424,0.00
140,0.30258,0.30258,0.19818,1,1.00,-0.80844,25.00
144,0.30877,0.30877,0.19818,1,1.00,-0.90819,21.00
148,0.31477,0.31477,0.21286,1,1.00,-0.94114,0.00
152,0.32058,0.32058,0.21286,1,1.00,-1.00770,0.00
156,0.32617,0.32617,0.21286,1,1.00,-1.06999,15.00
160,0.33157,0.33157,0.21286,1,1.00,-1.10051,27.00
164,0.33675,0.33675,0.21286,1,1.00,-1.12954,0.00
172,0.34647,0.34647,0.21286,1,1.00,-1.16409,16.00
176,0.35101,0.35101,0.22755,1,1.00,-1.12935,25.00
180,0.35532,0.35532,0.21286,1,1.00,-1.18687,352.00
184,0.35941,0.35941,0.21286,1,1.00,-1.19246,385.00
188,0.36328,0.36328,0.21286,1,1.00,-1.19724,193.00
196,0.37031,0.37031,0.22755,1,1.00,-1.15183,36.00
200,0.37348,0.37348,0.22755,1,1.00,-1.15129,28.00
204,0.37641,0.37641,0.22755,1,1.00,-1.15413,9.00
208,0.37910,0.37910,0.24223,1,1.00,-1.11819,170.00
212,0.38156,0.38156,0.24223,1,1.00,-1.11154,47.00
216,0.38377,0.38377,0.25691,1,1.00,-1.06478,0.00
224,0.38747,0.38747,0.25691,1,1.00,-1.06780,35.00
228,0.38895,0.38895,0.27159,1,1.00,-1.01809,19.00
