==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,0.66796,1,0.00,2.21914,19.00
4,0.00000,0.00000,0.68264,1,0.00,2.26587,0.00
8,0.00000,0.00000,0.69732,1,0.00,2.31816,0.00
12,0.00000,0.00000,0.69732,1,0.00,2.33341,238.00
16,0.00000,0.00000,0.69732,1,0.00,2.35759,264.00
20,0.00000,0.00000,0.68264,1,0.00,2.34263,234.00
24,0.00000,0.00000,0.69732,1,0.00,2.42851,20.00
28,0.00000,0.00000,0.69732,1,0.00,2.47337,25.00
32,0.00000,0.00000,0.68264,1,0.00,2.47731,30.00
36,0.00000,0.00000,0.68264,1,0.00,2.53332,0.00
40,0.00000,0.00000,0.68264,1,0.00,2.59326,0.00
48,0.00000,0.00000,0.66796,1,0.00,2.67865,25.00
52,0.00000,0.00000,0.65328,1,0.00,2.70225,6.00
56,0.00000,0.00000,0.63859,1,0.00,2.72985,12.00
60,0.00000,0.00000,0.62391,1,0.00,2.76141,14.00
64,0.00000,0.00000,0.59455,1,0.00,2.75120,29.00
68,0.00000,0.00000,0.57987,1,0.00,2.79053,0.00
72,0.00000,0.00000,0.56519,1,0.00,2.51567,0.00
76,0.00000,0.00000,0.55051,1,0.00,2.69744,0.00
80,0.00000,0.00000,0.53583,1,0.00,2.95420,33.00
84,0.00000,0.00000,0.52115,1,0.00,2.82540,9.00
88,0.00000,0.00000,0.50647,1,0.00,3.03904,0.00
92,0.00000,0.00000,0.49179,1,0.00,3.04198,0.00
100,0.00000,0.00000,0.44775,1,0.00,2.50137,16.00
104,0.00000,0.00000,0.43307,1,0.00,2.19635,0.00
108,0.00000,0.00000,0.40371,1,0.00,1.84186,0.00
112,0.00000,0.00000,0.38903,1,0.00,1.59180,24.00
116,0.00000,0.00000,0.37435,1,0.00,1.40274,21.00
120,0.00000,0.00000,0.35967,1,0.00,1.25775,0.00
124,0.00000,0.00000,0.34499,1,0.00,1.15032,0.00
128,0.00000,0.00000,0.31563,1,0.00,1.02461,15.00
132,0.00000,0.00000,0.30095,1,0.00,0.97060,31.00
140,0.00000,0.00000,0.27159,1,0.00,0.89100,0.00
144,0.00000,0.00000,0.25691,1,0.00,0.85406,10.00
148,0.00000,0.00000,0.24223,1,0.00,0.82981,24.00
152,0.00000,0.00000,0.22755,1,0.00,0.79981,0.00
156,0.00000,0.00000,0.21286,1,0.00,0.77438,0.00
160,0.00000,0.00000,0.21286,1,0.00,0.79795,12.00
164,0.00000,0.00000,0.19818,1,0.00,0.77359,30.00
168,0.00000,0.00000,0.18350,1,0.00,0.74609,0.00
172,0.00000,0.00000,0.16882,1,0.00,0.72085,0.00
176,0.00000,0.00000,0.16882,1,0.00,0.72750,0.00
180,0.00000,0.00000,0.16882,1,0.00,0.73472,29.00
188,0.00000,0.00000,0.15414,1,0.00,0.67705,0.00
192,0.00000,0.00000,0.13946,1,0.00,0.62787,0.00
196,0.00000,0.00000,0.12478,1,0.00,0.57159,46.00
200,0.00000,0.00000,0.11010,1,0.00,0.52575,239.00
204,0.00000,0.00000,0.11010,1,0.00,0.51803,106.00
208,0.00000,0.00000,0.09542,1,0.00,0.46054,140.00
212,0.00000,0.00000,0.09542,1,0.00,0.45621,201.00
216,0.00000,0.00000,0.08074,1,0.00,0.39439,251.00
220,0.00000,0.00000,0.06606,1,0.00,0.33519,274.00
228,0.00000,0.00000,0.05138,1,0.00,0.27143,310.00
232,0.00000,0.00000,0.03670,1,0.00,0.21113,291.00
236,0.00000,0.00000,0.03670,1,0.00,0.20885,247.00
240,0.00000,0.00000,0.03670,1,0.00,0.20904,236.00
244,0.00000,0.00000,0.02202,1,0.00,0.15460,244.00
248,0.00000,0.00000,0.02202,1,0.00,0.14945,229.00
252,0.00000,0.00000,0.02202,1,0.00,0.14441,239.00
256,0.00000,0.00000,0.00734,1,0.00,0.09483,254.00
260,0.00000,0.00000,0.00734,1,0.00,0.09502,257.00
264,0.00000,0.00000,0.00734,1,0.00,0.09715,246.00
272,0.00000,0.00000,-0.00734,1,0.00,-0.57070,265.00
276,0.00000,0.00000,-0.00734,1,0.00,-0.58551,283.00
280,0.00000,0.00000,-0.00734,1,0.00,-0.59437,263.00
