==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,0.65328,1,0.00,2.17212,598.00
4,0.00000,0.00000,0.65328,1,0.00,2.17185,597.00
8,0.00000,0.00000,0.65328,1,0.00,2.17701,602.00
12,0.00000,0.00000,0.65328,1,0.00,2.19182,610.00
16,0.00000,0.00000,0.65328,1,0.00,2.21503,604.00
20,0.00000,0.00000,0.65328,1,0.00,2.24554,598.00
24,0.00000,0.00000,0.62391,1,0.00,2.18835,599.00
28,0.00000,0.00000,0.62391,1,0.00,2.23087,603.00
32,0.00000,0.00000,0.62391,1,0.00,2.27894,605.00
36,0.00000,0.00000,0.60923,1,0.00,2.28422,597.00
40,0.00000,0.00000,0.60923,1,0.00,2.33985,603.00
44,0.00000,0.00000,0.60923,1,0.00,2.39982,608.00
48,0.00000,0.00000,0.57987,1,0.00,2.36794,598.00
52,0.00000,0.00000,0.57987,1,0.00,2.43262,601.00
56,0.00000,0.00000,0.57987,1,0.00,2.50063,604.00
60,0.00000,0.00000,0.59455,1,0.00,2.61903,605.00
64,0.00000,0.00000,0.57987,1,0.00,2.64833,603.00
68,0.00000,0.00000,0.55051,1,0.00,2.63305,598.00
76,0.00000,0.00000,0.50647,1,0.00,2.48960,607.00
80,0.00000,0.00000,0.52115,1,0.00,2.83257,602.00
84,0.00000,0.00000,0.49179,1,0.00,2.64598,596.00
88,0.00000,0.00000,0.47711,1,0.00,2.84834,600.00
92,0.00000,0.00000,0.46243,1,0.00,2.83908,600.00
96,0.00000,0.00000,0.43307,1,0.00,2.61543,605.00
100,0.00000,0.00000,0.41839,1,0.00,2.32075,593.00
104,0.00000,0.00000,0.40371,1,0.00,2.00412,597.00
108,0.00000,0.00000,0.37435,1,0.00,1.69095,600.00
112,0.00000,0.00000,0.35967,1,0.00,1.44463,607.00
116,0.00000,0.00000,0.34499,1,0.00,1.25662,596.00
