==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,-0.11010,1,0.00,-0.89261,480.00
4,0.00000,0.00000,-0.11010,1,0.00,-0.89256,480.00
8,0.00000,0.00000,-0.11010,1,0.00,-0.89343,480.00
12,0.00000,0.00000,-0.11010,1,0.00,-0.89593,483.00
16,0.00000,0.00000,-0.09542,1,0.00,-0.85282,481.00
20,0.00000,0.00000,-0.09542,1,0.00,-0.85797,481.00
24,0.00000,0.00000,-0.09542,1,0.00,-0.86406,481.00
28,0.00000,0.00000,-0.09542,1,0.00,-0.87089,481.00
32,0.00000,0.00000,-0.09542,1,0.00,-0.87851,481.00
40,0.00000,0.00000,-0.09542,1,0.00,-0.89548,481.00
44,0.00000,0.00000,-0.09542,1,0.00,-0.90488,481.00
48,0.00000,0.00000,-0.09542,1,0.00,-0.91460,481.00
52,0.00000,0.00000,-0.09542,1,0.00,-0.92472,481.00
56,0.00000,0.00000,-0.08074,1,0.00,-0.88842,481.00
60,0.00000,0.00000,-0.08074,1,0.00,-0.89973,480.00
64,0.00000,0.00000,-0.08074,1,0.00,-0.91180,480.00
68,0.00000,0.00000,-0.06606,1,0.00,-0.87708,480.00
72,0.00000,0.00000,-0.06606,1,0.00,-0.83744,481.00
80,0.00000,0.00000,-0.08074,1,0.00,-0.96920,481.00
84,0.00000,0.00000,-0.06606,1,0.00,-0.90468,482.00
88,0.00000,0.00000,-0.06606,1,0.00,-0.95174,481.00
92,0.00000,0.00000,-0.06606,1,0.00,-0.95300,481.00
96,0.00000,0.00000,-0.06606,1,0.00,-0.92210,481.00
100,0.00000,0.00000,-0.05138,1,0.00,-0.83642,481.00
104,0.00000,0.00000,-0.05138,1,0.00,-0.78698,481.00
108,0.00000,0.00000,-0.05138,1,0.00,-0.74671,481.00
112,0.00000,0.00000,-0.03670,1,0.00,-0.67103,479.00
