==============================================================================
NEW TEST STARTED -> SINE WAVE FREQUENCY: 0.20 Hz
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,-0.55051,1,0.20,-2.30303,0.00
4,0.00197,0.00197,-0.25691,1,0.20,-1.36883,29.00
8,0.00395,0.00395,-0.03670,1,0.20,-0.67442,13.00
12,0.00592,0.00592,0.13946,1,0.20,0.49316,0.00
20,0.00987,0.00987,0.38903,1,0.20,1.25938,30.00
24,0.01184,0.01184,0.46243,1,0.20,1.48340,18.00
28,0.01381,0.01381,0.53583,1,0.20,1.71298,0.00
32,0.01579,0.01579,0.59455,1,0.20,1.90121,0.00
36,0.01776,0.01776,0.63859,1,0.20,2.04923,18.00
40,0.01973,0.01973,0.68264,1,0.20,2.20464,28.00
44,0.02170,0.02170,0.69732,1,0.20,2.27188,74.00
48,0.02367,0.02367,0.72668,1,0.20,2.39383,143.00
52,0.02564,0.02564,0.75604,1,0.20,2.52223,226.00
60,0.02958,0.02958,0.74136,1,0.20,2.55868,324.00
64,0.03155,0.03155,0.75604,1,0.20,2.65347,40.00
68,0.03352,0.03352,0.74136,1,0.20,2.66034,19.00
72,0.03548,0.03548,0.74136,1,0.20,2.98047,25.00
76,0.03745,0.03745,0.74136,1,0.20,2.78680,0.00
80,0.03941,0.03941,0.72668,1,0.20,2.59100,0.00
84,0.04138,0.04138,0.71200,1,0.20,2.82694,5.00
88,0.04334,0.04334,0.69732,1,0.20,2.68709,221.00
96,0.04726,0.04726,0.66796,1,0.20,3.05467,164.00
100,0.04922,0.04922,0.65328,1,0.20,3.27784,232.00
104,0.05118,0.05118,0.63859,1,0.20,3.38702,258.00
108,0.05313,0.05313,0.62391,1,0.20,3.38833,181.00
112,0.05509,0.05509,0.60923,1,0.20,3.26786,240.00
116,0.05704,0.05704,0.57987,1,0.20,3.03891,323.00
120,0.05899,0.05899,0.56519,1,0.20,2.80594,278.00
128,0.06289,0.06289,0.53583,1,0.20,2.32829,321.00
132,0.06484,0.06484,0.50647,1,0.20,2.04944,363.00
136,0.06679,0.06679,0.49179,1,0.20,1.82537,378.00
140,0.06873,0.06873,0.47711,1,0.20,1.66253,345.00
144,0.07067,0.07067,0.44775,1,0.20,1.45362,387.00
148,0.07261,0.07261,0.43307,1,0.20,1.30768,361.00
152,0.07455,0.07455,0.40371,1,0.20,1.16538,386.00
156,0.07649,0.07649,0.37435,1,0.20,1.03138,387.00
160,0.07843,0.07843,0.34499,1,0.20,0.91125,398.00
168,0.08229,0.08229,0.31563,1,0.20,0.80291,423.00
