==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,-0.09542,1,0.00,-0.84559,495.00
4,0.00000,0.00000,-0.09542,1,0.00,-0.84555,495.00
8,0.00000,0.00000,-0.08074,1,0.00,-0.79929,495.00
12,0.00000,0.00000,-0.08074,1,0.00,-0.80146,496.00
16,0.00000,0.00000,-0.08074,1,0.00,-0.80474,495.00
20,0.00000,0.00000,-0.08074,1,0.00,-0.80886,495.00
24,0.00000,0.00000,-0.08074,1,0.00,-0.81372,495.00
28,0.00000,0.00000,-0.08074,1,0.00,-0.81924,495.00
32,0.00000,0.00000,-0.08074,1,0.00,-0.82547,495.00
40,0.00000,0.00000,-0.06606,1,0.00,-0.79243,495.00
44,0.00000,0.00000,-0.06606,1,0.00,-0.80022,495.00
48,0.00000,0.00000,-0.05138,1,0.00,-0.76118,496.00
52,0.00000,0.00000,-0.06606,1,0.00,-0.81629,495.00
56,0.00000,0.00000,-0.06606,1,0.00,-0.82459,495.00
60,0.00000,0.00000,-0.06606,1,0.00,-0.83317,494.00
64,0.00000,0.00000,-0.06606,1,0.00,-0.84237,498.00
72,0.00000,0.00000,-0.06606,1,0.00,-0.81625,494.00
76,0.00000,0.00000,-0.06606,1,0.00,-0.84692,494.00
80,0.00000,0.00000,-0.06606,1,0.00,-0.89483,494.00
84,0.00000,0.00000,-0.06606,1,0.00,-0.87588,495.00
88,0.00000,0.00000,-0.05138,1,0.00,-0.85841,495.00
92,0.00000,0.00000,-0.05138,1,0.00,-0.86584,495.00
96,0.00000,0.00000,-0.05138,1,0.00,-0.83914,495.00
104,0.00000,0.00000,-0.05138,1,0.00,-0.76767,495.00
108,0.00000,0.00000,-0.05138,1,0.00,-0.73855,495.00
112,0.00000,0.00000,-0.05138,1,0.00,-0.72345,495.00
116,0.00000,0.00000,-0.03670,1,0.00,-0.65808,495.00
120,0.00000,0.00000,-0.03670,1,0.00,-0.65057,495.00
124,0.00000,0.00000,-0.03670,1,0.00,-0.63870,495.00
132,0.00000,0.00000,-0.03670,1,0.00,-0.63970,495.00
136,0.00000,0.00000,-0.02202,1,0.00,-0.59022,495.00
140,0.00000,0.00000,-0.02202,1,0.00,-0.60294,495.00
144,0.00000,0.00000,-0.02202,1,0.00,-0.61526,497.00
148,0.00000,0.00000,-0.02202,1,0.00,-0.62442,495.00
152,0.00000,0.00000,-0.02202,1,0.00,-0.62989,494.00
160,0.00000,0.00000,-0.02202,1,0.00,-0.63922,494.00
164,0.00000,0.00000,-0.02202,1,0.00,-0.63420,494.00
168,0.00000,0.00000,-0.00734,1,0.00,-0.57928,494.00
172,0.00000,0.00000,-0.00734,1,0.00,-0.57913,494.00
176,0.00000,0.00000,-0.00734,1,0.00,-0.57039,494.00
180,0.00000,0.00000,-0.00734,1,0.00,-0.56563,494.00
188,0.00000,0.00000,-0.00734,1,0.00,-0.57168,495.00
192,0.00000,0.00000,-0.00734,1,0.00,-0.56882,495.00
196,0.00000,0.00000,-0.00734,1,0.00,-0.56336,495.00
200,0.00000,0.00000,-0.00734,1,0.00,-0.56510,495.00
208,0.00000,0.00000,-0.00734,1,0.00,-0.56046,494.00
212,0.00000,0.00000,-0.00734,1,0.00,-0.55609,494.00
216,0.00000,0.00000,-0.00734,1,0.00,-0.55150,494.00
224,0.00000,0.00000,0.00734,1,0.00,0.11605,495.00
228,0.00000,0.00000,0.00734,1,0.00,0.11719,495.00
232,0.00000,0.00000,0.00734,1,0.00,0.11566,495.00
236,0.00000,0.00000,0.00734,1,0.00,0.11300,495.00
240,0.00000,0.00000,0.00734,1,0.00,0.10373,495.00
244,0.00000,0.00000,0.00734,1,0.00,0.10578,495.00
248,0.00000,0.00000,0.00734,1,0.00,0.11071,494.00
256,0.00000,0.00000,0.00734,1,0.00,0.11456,494.00
260,0.00000,0.00000,0.00734,1,0.00,0.11697,494.00
264,0.00000,0.00000,0.00734,1,0.00,0.11601,494.00
268,0.00000,0.00000,0.00734,1,0.00,0.11326,494.00
272,0.00000,0.00000,0.00734,1,0.00,0.11038,494.00
276,0.00000,0.00000,0.00734,1,0.00,0.10830,494.00
280,0.00000,0.00000,0.00734,1,0.00,0.10738,494.00
284,0.00000,0.00000,0.00734,1,0.00,0.10769,494.00
288,0.00000,0.00000,0.00734,1,0.00,0.10897,494.00
296,0.00000,0.00000,-0.00734,1,0.00,-0.55714,494.00
300,0.00000,0.00000,-0.00734,1,0.00,-0.00941,494.00
304,0.00000,0.00000,-0.00734,1,0.00,-0.55034,494.00
308,0.00000,0.00000,-0.00734,1,0.00,-0.00369,495.00
312,0.00000,0.00000,-0.00734,1,0.00,-0.00198,495.00
316,0.00000,0.00000,-0.00734,1,0.00,-0.00455,495.00
320,0.00000,0.00000,-0.00734,1,0.00,-0.00956,494.00
328,0.00000,0.00000,-0.00734,1,0.00,-0.56056,494.00
332,0.00000,0.00000,-0.00734,1,0.00,-0.56509,494.00
336,0.00000,0.00000,-0.00734,1,0.00,-0.56867,494.00
340,0.00000,0.00000,-0.00734,1,0.00,-0.57146,494.00
344,0.00000,0.00000,-0.00734,1,0.00,-0.57359,494.00
348,0.00000,0.00000,-0.00734,1,0.00,-0.57517,494.00
352,0.00000,0.00000,-0.00734,1,0.00,-0.57646,492.00
360,0.00000,0.00000,-0.00734,1,0.00,-0.57869,493.00
364,0.00000,0.00000,-0.00734,1,0.00,-0.57979,493.00
368,0.00000,0.00000,-0.00734,1,0.00,-0.57403,493.00
372,0.00000,0.00000,-0.00734,1,0.00,-0.57855,493.00
376,0.00000,0.00000,-0.00734,1,0.00,-0.58477,493.00
380,0.00000,0.00000,-0.00734,1,0.00,-0.58240,494.00
384,0.00000,0.00000,-0.00734,1,0.00,-0.58784,493.00
392,0.00000,0.00000,-0.00734,1,0.00,-0.58547,493.00
396,0.00000,0.00000,-0.00734,1,0.00,-0.58019,493.00
400,0.00000,0.00000,-0.00734,1,0.00,-0.57456,493.00
404,0.00000,0.00000,0.00734,1,0.00,0.09742,493.00
408,0.00000,0.00000,0.00734,1,0.00,0.10131,493.00
412,0.00000,0.00000,0.00734,1,0.00,0.10411,493.00
416,0.00000,0.00000,0.00734,1,0.00,0.10606,493.00
420,0.00000,0.00000,0.00734,1,0.00,0.10733,490.00
424,0.00000,0.00000,0.00734,1,0.00,0.10804,492.00
428,0.00000,0.00000,0.00734,1,0.00,0.10841,492.00
436,0.00000,0.00000,0.00734,1,0.00,0.10865,492.00
