=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.15 13:54:43 =~=~=~=~=~=~=~=~=~=~=~=
==============================================================================
NEW TEST STARTED -> REFERENCE POSITION: 0.1000 m
==============================================================================
Time(ms),y_ref(m),y_curr(m),theta_ref_raw(r),theta_ref_sat(r),theta_curr(r),Trial,V_motor(V)
0,0.10000,0.40197,1.25822,0.70000,-1.01811,1,-7.45784
4,0.10000,0.40197,1.25822,0.70000,-1.00356,1,-7.39943
8,0.10000,0.40197,1.25822,0.70000,-1.00356,1,-7.38125
16,0.10000,0.40197,1.25822,0.70000,-0.97448,1,-7.32910
20,0.10000,0.40197,1.25822,0.70000,-0.95993,1,-7.34476
24,0.10000,0.40197,1.25822,0.70000,-0.94539,1,-7.38309
32,0.10000,0.40197,1.25822,0.70000,-0.90175,1,-7.45762
36,0.10000,0.40197,1.25822,0.70000,-0.87266,1,-7.48973
40,0.10000,0.40197,1.25822,0.70000,-0.84358,1,-7.53702
48,0.10000,0.40197,1.25822,0.70000,-0.78540,1,-7.66640
52,0.10000,0.40197,1.25822,0.70000,-0.75631,1,-7.73745
56,0.10000,0.40197,1.25822,0.70000,-0.72722,1,-7.82273
64,0.10000,0.40197,1.25822,0.70000,-0.66904,1,-8.01995
68,0.10000,0.40197,1.25822,0.70000,-0.63995,1,-8.12499
76,0.10000,0.40197,1.25822,0.70000,-0.56723,1,-8.20566
80,0.10000,0.40197,1.25822,0.70000,-0.53814,1,-8.21903
84,0.10000,0.40197,1.25822,0.70000,-0.49451,1,-8.05366
92,0.10000,0.40197,1.25822,0.70000,-0.43633,1,-8.86075
96,0.10000,0.40197,1.25822,0.70000,-0.40724,1,-8.25477
100,0.10000,0.40197,1.25822,0.70000,-0.34907,1,-7.19546
108,0.10000,0.40197,1.25822,0.70000,-0.29089,1,-5.29795
112,0.10000,0.40197,1.25822,0.70000,-0.26180,1,-4.56688
120,0.10000,0.40197,1.25822,0.70000,-0.20362,1,-3.63026
124,0.10000,0.40099,1.25822,0.70000,-0.15999,1,-3.31608
128,0.10000,0.40099,1.25822,0.70000,-0.13090,1,-3.16377
136,0.10000,0.40099,1.25822,0.70000,-0.07272,1,-3.05029
140,0.10000,0.40099,1.25822,0.70000,-0.05818,1,-3.10948
144,0.10000,0.40099,1.25822,0.70000,-0.02909,1,-3.12512
152,0.10000,0.40099,1.25822,0.70000,0.00000,1,-3.26582
156,0.10000,0.40099,1.25822,0.70000,0.02909,1,-3.25966
160,0.10000,0.40099,1.25822,0.70000,0.02909,1,-3.34616
168,0.10000,0.40099,1.25822,0.70000,0.07272,1,-3.31178
172,0.10000,0.40099,1.25822,0.70000,0.08727,1,-3.30010
176,0.10000,0.40099,1.25822,0.70000,0.10181,1,-3.28165
180,0.10000,0.40099,1.25822,0.70000,0.11636,1,-3.25686
188,0.10000,0.40197,1.25822,0.70000,0.15999,1,-3.10878
192,0.10000,0.40197,1.25822,0.70000,0.17453,1,-3.05424
196,0.10000,0.40197,1.25822,0.70000,0.18908,1,-3.00102
204,0.10000,0.40197,1.25822,0.70000,0.23271,1,-2.82099
208,0.10000,0.39605,1.25822,0.70000,0.24725,1,-2.74780
