=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.15 13:04:03 =~=~=~=~=~=~=~=~=~=~=~=
==============================================================================
NEW TEST STARTED -> REFERENCE POSITION: 0.1000 m
==============================================================================
Time(ms),y_ref(m),y_curr(m),theta_ref_raw(r),theta_ref_sat(r),theta_curr(r),Trial,V_motor(V)
0,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.45784
4,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.45800
8,0.10000,0.40592,1.27878,0.70000,-1.01811,1,-7.43982
16,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.50478
20,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.57925
24,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.67677
32,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.93024
36,0.10000,0.40789,1.27878,0.70000,-1.01811,1,-8.08247
40,0.10000,0.40592,1.27878,0.70000,-1.01811,1,-8.25087
48,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-8.62716
52,0.10000,0.40789,1.27878,0.70000,-1.01811,1,-8.82470
56,0.10000,0.40592,1.27878,0.70000,-1.01811,1,-9.03890
64,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-9.44385
68,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-9.68669
76,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-10.11165
80,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-10.27262
84,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-10.31658
92,0.10000,0.40592,1.27878,0.70000,-1.00356,1,-11.44110
96,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-10.99584
100,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-10.21898
108,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.65158
112,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.08075
120,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-7.45920
124,0.10000,0.40691,1.27878,0.70000,-1.01811,1,-7.42028
128,0.10000,0.40789,1.27878,0.70000,-1.01811,1,-7.42066
136,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-7.53288
140,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-7.66796
144,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-7.81472
152,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-8.09023
156,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.21117
160,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.32159
168,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-8.50141
172,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-8.56943
180,0.10000,0.40691,1.27878,0.70000,-1.00356,1,-8.66555
184,0.10000,0.40987,1.27878,0.70000,-1.00356,1,-8.69564
188,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.71560
196,0.10000,0.40888,1.27878,0.70000,-1.01811,1,-8.78868
200,0.10000,0.40987,1.27878,0.70000,-1.00356,1,-8.72510
204,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.71139
212,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.66758
216,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-8.63572
224,0.10000,0.40789,1.27878,0.70000,-1.00356,1,-8.54268
228,0.10000,0.40888,1.27878,0.70000,-1.00356,1,-8.50418
232,0.10000,0.40987,1.27878,0.70000,-1.00356,1,-8.47286
240,0.10000,0.40789,1.28289,0.70000,-1.00356,1,-8.43029
244,0.10000,0.40789,1.28289,0.70000,-1.00356,1,-8.41824
252,0.10000,0.40987,1.28289,0.70000,-1.00356,1,-8.41021
