=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.15 14:36:11 =~=~=~=~=~=~=~=~=~=~=~=
==============================================================================
NEW TEST STARTED -> REFERENCE POSITION: 0.1000 m
==============================================================================
Time(ms),y_ref(m),y_curr(m),theta_ref_raw(r),theta_ref_sat(r),theta_curr(r),Trial,V_motor(V)
0,0.10000,0.40987,1.29112,0.70000,-1.03265,1,-7.51640
4,0.10000,0.40987,1.29112,0.70000,-1.03265,1,-7.51656
12,0.10000,0.40987,1.29112,0.70000,-1.00356,1,-7.39834
16,0.10000,0.40987,1.29112,0.70000,-1.00356,1,-7.44677
20,0.10000,0.40987,1.29112,0.70000,-0.95993,1,-7.34619
28,0.10000,0.40987,1.29112,0.70000,-0.93084,1,-7.44499
32,0.10000,0.40987,1.29112,0.70000,-0.90175,1,-7.46288
36,0.10000,0.40987,1.29112,0.70000,-0.87266,1,-7.49654
44,0.10000,0.40987,1.29112,0.70000,-0.82903,1,-7.66643
48,0.10000,0.40987,1.29112,0.70000,-0.79994,1,-7.73555
52,0.10000,0.40987,1.29112,0.70000,-0.75631,1,-7.74878
60,0.10000,0.40987,1.29112,0.70000,-0.71268,1,-7.98950
64,0.10000,0.40987,1.29112,0.70000,-0.66904,1,-8.03500
68,0.10000,0.40987,1.29112,0.70000,-0.62541,1,-8.08243
76,0.10000,0.40987,1.29112,0.70000,-0.59632,1,-8.34047
80,0.10000,0.40987,1.29112,0.70000,-0.55269,1,-8.29499
84,0.10000,0.40987,1.29112,0.70000,-0.50905,1,-8.12793
92,0.10000,0.40987,1.29112,0.70000,-0.39270,1,-8.71468
96,0.10000,0.40987,1.29112,0.70000,-0.39270,1,-8.21474
104,0.10000,0.40987,1.29112,0.70000,-0.31998,1,-6.20025
108,0.10000,0.40987,1.29112,0.70000,-0.30543,1,-5.33845
112,0.10000,0.40987,1.29112,0.70000,-0.26180,1,-4.54531
120,0.10000,0.40987,1.29112,0.70000,-0.21817,1,-3.66083
124,0.10000,0.40987,1.29112,0.70000,-0.17453,1,-3.35190
128,0.10000,0.40987,1.29112,0.70000,-0.13090,1,-3.14867
136,0.10000,0.40987,1.29112,0.70000,-0.10181,1,-3.17821
140,0.10000,0.40987,1.29112,0.70000,-0.08727,1,-3.23248
148,0.10000,0.40987,1.29112,0.70000,-0.02909,1,-3.27028
152,0.10000,0.40987,1.29112,0.70000,-0.01454,1,-3.33509
156,0.10000,0.40987,1.29112,0.70000,0.01454,1,-3.31927
164,0.10000,0.40987,1.29112,0.70000,0.01454,1,-3.51304
168,0.10000,0.40987,1.29112,0.70000,0.05818,1,-3.39909
172,0.10000,0.40987,1.29112,0.70000,0.10181,1,-3.26400
180,0.10000,0.40987,1.29112,0.70000,0.10181,1,-3.30382
184,0.10000,0.40987,1.29112,0.70000,0.13090,1,-3.21909
188,0.10000,0.40987,1.29112,0.70000,0.15999,1,-3.13574
196,0.10000,0.40987,1.29112,0.70000,0.20362,1,-2.99782
200,0.10000,0.40987,1.29112,0.70000,0.20362,1,-2.99491
208,0.10000,0.40987,1.29112,0.70000,0.24725,1,-2.79891
212,0.10000,0.40987,1.29112,0.70000,0.27634,1,-2.63705
216,0.10000,0.40987,1.29112,0.70000,0.24725,1,-2.69941
224,0.10000,0.40987,1.29112,0.70000,0.36361,1,-2.17148
228,0.10000,0.40987,1.29112,0.70000,0.31998,1,-2.30732
232,0.10000,0.40987,1.29112,0.70000,0.34907,1,-2.13996
240,0.10000,0.40987,1.29112,0.70000,0.34907,1,-2.08057
244,0.10000,0.40987,1.29112,0.70000,0.34907,1,-2.05328
248,0.10000,0.40987,1.29112,0.70000,0.37815,1,-1.94929
256,0.10000,0.40987,1.29112,0.70000,0.40724,1,-1.77763
260,0.10000,0.40987,1.29112,0.70000,0.40724,1,-1.73665
268,0.10000,0.40987,1.29112,0.70000,0.42179,1,-1.68432
272,0.10000,0.40987,1.29112,0.70000,0.42179,1,-1.69025
276,0.10000,0.40987,1.29112,0.70000,0.43633,1,-1.63002
284,0.10000,0.40987,1.29112,0.70000,0.45088,1,-1.58115
288,0.10000,0.40987,1.29112,0.70000,0.46542,1,-1.53339
292,0.10000,0.40987,1.29112,0.70000,0.46542,1,-1.54681
300,0.10000,0.40987,1.29112,0.70000,0.47997,1,-1.48876
304,0.10000,0.40987,1.29112,0.70000,0.49451,1,-1.46079
308,0.10000,0.40987,1.29112,0.70000,0.49451,1,-1.46667
316,0.10000,0.40987,1.29112,0.70000,0.49451,1,-1.46030
