=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.15 15:00:05 =~=~=~=~=~=~=~=~=~=~=~=
==============================================================================
NEW TEST STARTED -> REFERENCE POSITION: 0.1000 m
==============================================================================
Time(ms),y_ref(m),y_curr(m),theta_ref_raw(r),theta_ref_sat(r),theta_curr(r),Trial,V_motor(V)
0,0.10000,0.39013,1.20888,0.70000,-1.03265,1,-7.51640
4,0.10000,0.39013,1.20888,0.70000,-1.03265,1,-7.51656
8,0.10000,0.39013,1.20888,0.70000,-1.03265,1,-7.49822
16,0.10000,0.39013,1.20888,0.70000,-0.97448,1,-7.32949
20,0.10000,0.39013,1.20888,0.70000,-0.95993,1,-7.34633
24,0.10000,0.39013,1.20888,0.70000,-0.95993,1,-7.44470
32,0.10000,0.39013,1.20888,0.70000,-0.87266,1,-7.34577
36,0.10000,0.39013,1.20888,0.70000,-0.87266,1,-7.49643
40,0.10000,0.39013,1.20888,0.70000,-0.84358,1,-7.54489
48,0.10000,0.39013,1.20888,0.70000,-0.78540,1,-7.67467
52,0.10000,0.39013,1.20888,0.70000,-0.75631,1,-7.74598
60,0.10000,0.39013,1.20888,0.70000,-0.69813,1,-7.92540
64,0.10000,0.39013,1.20888,0.70000,-0.65450,1,-7.96989
68,0.10000,0.39013,1.20888,0.70000,-0.61087,1,-8.01616
76,0.10000,0.39013,1.20888,0.70000,-0.53814,1,-8.09538
80,0.10000,0.39013,1.20888,0.70000,-0.52360,1,-8.16531
88,0.10000,0.39013,1.20888,0.70000,-0.46542,1,-8.82268
92,0.10000,0.39013,1.20888,0.70000,-0.42179,1,-8.81069
96,0.10000,0.39013,1.20888,0.70000,-0.37815,1,-8.14034
104,0.10000,0.39013,1.20888,0.70000,-0.33452,1,-6.21400
108,0.10000,0.39013,1.20888,0.70000,-0.29089,1,-5.24287
116,0.10000,0.39013,1.20888,0.70000,-0.23271,1,-3.96319
120,0.10000,0.39013,1.20888,0.70000,-0.20362,1,-3.56744
124,0.10000,0.39013,1.20888,0.70000,-0.17453,1,-3.33428
132,0.10000,0.39013,1.20888,0.70000,-0.13090,1,-3.18404
136,0.10000,0.39013,1.20888,0.70000,-0.10181,1,-3.16433
140,0.10000,0.39013,1.20888,0.70000,-0.05818,1,-3.11417
148,0.10000,0.39013,1.20888,0.70000,-0.02909,1,-3.26601
152,0.10000,0.39013,1.20888,0.70000,0.00000,1,-3.27163
160,0.10000,0.39013,1.20888,0.70000,0.01454,1,-3.41309
164,0.10000,0.39013,1.20888,0.70000,0.05818,1,-3.31559
168,0.10000,0.39013,1.20888,0.70000,0.05818,1,-3.39608
176,0.10000,0.39013,1.20888,0.70000,0.10181,1,-3.33585
180,0.10000,0.39013,1.20888,0.70000,0.13090,1,-3.24555
184,0.10000,0.39013,1.20888,0.70000,0.17453,1,-3.08054
192,0.10000,0.39013,1.20888,0.70000,0.17453,1,-3.10830
196,0.10000,0.39013,1.20888,0.70000,0.20362,1,-2.98971
204,0.10000,0.39013,1.20888,0.70000,0.23271,1,-2.84695
208,0.10000,0.39013,1.20888,0.70000,0.21817,1,-2.88141
212,0.10000,0.39013,1.20888,0.70000,0.26180,1,-2.67566
220,0.10000,0.39013,1.20888,0.70000,0.36361,1,-2.19359
224,0.10000,0.39013,1.20888,0.70000,0.29089,1,-2.45391
228,0.10000,0.39013,1.20888,0.70000,0.29089,1,-2.40664
236,0.10000,0.39013,1.20888,0.70000,0.36361,1,-2.04692
240,0.10000,0.39013,1.20888,0.70000,0.34907,1,-2.07900
248,0.10000,0.39013,1.20888,0.70000,0.39270,1,-1.88640
252,0.10000,0.39013,1.20888,0.70000,0.37815,1,-1.89834
256,0.10000,0.39013,1.20888,0.70000,0.40724,1,-1.76011
264,0.10000,0.39013,1.20888,0.70000,0.40724,1,-1.74188
268,0.10000,0.39013,1.20888,0.70000,0.37815,1,-1.85158
276,0.10000,0.39013,1.20888,0.70000,0.43633,1,-1.61943
280,0.10000,0.39013,1.20888,0.70000,0.40724,1,-1.76754
284,0.10000,0.38914,1.20888,0.70000,0.46542,1,-1.54927
292,0.10000,0.38224,1.20888,0.70000,0.47997,1,-1.51508
296,0.10000,0.38224,1.20888,0.70000,0.47997,1,-1.53326
300,0.10000,0.38224,1.20888,0.70000,0.52360,1,-1.35083
308,0.10000,0.37434,1.20888,0.70000,0.50905,1,-1.36061
312,0.10000,0.37434,1.20888,0.70000,0.50905,1,-1.40000
316,0.10000,0.37434,1.20888,0.70000,0.53814,1,-1.32163
324,0.10000,0.36842,1.20888,0.70000,0.50905,1,-1.41867
328,0.10000,0.36842,1.20888,0.70000,0.53814,1,-1.29871
336,0.10000,0.36842,1.20888,0.70000,0.53814,1,-1.27422
340,0.10000,0.36842,1.20888,0.70000,0.50905,1,-1.40518
344,0.10000,0.36842,1.20888,0.70000,0.55269,1,-1.22466
352,0.10000,0.36842,1.20888,0.70000,0.56723,1,-1.15911
356,0.10000,0.36842,1.20888,0.70000,0.58178,1,-1.11451
360,0.10000,0.36842,0.84743,0.70000,0.56723,1,-1.13189
368,0.10000,0.36743,0.84743,0.70000,0.52360,1,-1.29720
372,0.10000,0.36447,0.84743,0.70000,0.56723,1,-1.09360
380,0.10000,0.36447,0.84743,0.70000,0.61087,1,-0.89887
384,0.10000,0.36349,0.84743,0.70000,0.61087,1,-0.90266
388,0.10000,0.35658,0.84743,0.70000,0.61087,1,-0.89302
396,0.10000,0.35559,0.84743,0.70000,0.61087,1,-0.93050
400,0.10000,0.35559,0.84743,0.70000,0.61087,1,-0.95859
404,0.10000,0.35263,0.84743,0.70000,0.61087,1,-0.96106
412,0.10000,0.35263,0.84743,0.70000,0.61087,1,-0.99161
416,0.10000,0.35263,0.84743,0.70000,0.63995,1,-0.85983
420,0.10000,0.35263,0.84743,0.70000,0.62541,1,-0.89663
428,0.10000,0.35263,0.84743,0.70000,0.62541,1,-0.91076
432,0.10000,0.35263,0.84743,0.70000,0.62541,1,-0.88918
440,0.10000,0.35263,0.84743,0.70000,0.63995,1,-0.80160
444,0.10000,0.35263,0.84743,0.70000,0.66904,1,-0.66043
448,0.10000,0.35362,0.84743,0.70000,0.66904,1,-0.66065
456,0.10000,0.35461,0.84743,0.70000,0.63995,1,-0.81213
460,0.10000,0.35461,0.84743,0.70000,0.65450,1,-0.73862
468,0.10000,0.35461,0.84743,0.70000,0.66904,1,-0.63348
472,0.10000,0.35164,0.84743,0.70000,0.66904,1,-0.62273
476,0.10000,0.35164,0.84743,0.70000,0.61087,1,-0.86500
484,0.10000,0.35164,0.84743,0.70000,0.66904,1,-0.66330
488,0.10000,0.35164,0.84743,0.70000,0.66904,1,-0.67840
492,0.10000,0.35164,0.84743,0.70000,0.61087,1,-0.92257
500,0.10000,0.35164,0.84743,0.70000,0.68359,1,-0.63594
504,0.10000,0.34474,0.84743,0.70000,0.68359,1,-0.61901
508,0.10000,0.34375,0.84743,0.70000,0.68359,1,-0.61973
516,0.10000,0.34375,0.84743,0.70000,0.69813,1,-0.56800
520,0.10000,0.34178,0.84743,0.70000,0.69813,1,-0.56944
528,0.10000,0.34276,0.84743,0.70000,0.65450,1,-0.73313
532,0.10000,0.34276,0.84743,0.70000,0.69813,1,-0.00201
536,0.10000,0.33783,0.84743,0.70000,0.69813,1,0.00080
544,0.10000,0.33388,0.84743,0.70000,0.68359,1,-0.63908
548,0.10000,0.33586,0.84743,0.70000,0.68359,1,-0.63554
552,0.10000,0.33191,0.84743,0.70000,0.62541,1,-0.87340
560,0.10000,0.32895,0.84743,0.70000,0.66904,1,-0.66520
564,0.10000,0.32895,0.84743,0.70000,0.66904,1,-0.69202
568,0.10000,0.32895,0.84743,0.70000,0.69813,1,-0.56346
576,0.10000,0.33092,0.84743,0.70000,0.68359,1,-0.58492
580,0.10000,0.33289,0.84743,0.70000,0.69813,1,-0.55500
584,0.10000,0.33388,0.84743,0.70000,0.65450,1,-0.72206
592,0.10000,0.33586,0.84743,0.70000,0.66904,1,-0.62905
596,0.10000,0.33586,0.84743,0.70000,0.68359,1,-0.57786
600,0.10000,0.33586,0.84743,0.70000,0.69813,1,0.00414
608,0.10000,0.32993,0.84743,0.70000,0.69813,1,-0.55867
612,0.10000,0.33191,0.84743,0.70000,0.68359,1,-0.66360
616,0.10000,0.33289,0.84743,0.70000,0.69813,1,-0.62142
624,0.10000,0.33487,0.84743,0.70000,0.69813,1,-0.57605
628,0.10000,0.33487,0.84743,0.70000,0.71268,1,0.10073
636,0.10000,0.33586,0.84743,0.70000,0.69813,1,-0.57952
640,0.10000,0.33684,0.84743,0.70000,0.68359,1,-0.66462
644,0.10000,0.33684,0.84743,0.70000,0.68359,1,-0.66661
652,0.10000,0.33882,0.84743,0.70000,0.66904,1,-0.64809
