=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.15 14:11:41 =~=~=~=~=~=~=~=~=~=~=~=
==============================================================================
NEW TEST STARTED -> REFERENCE POSITION: 0.1000 m
==============================================================================
Time(ms),y_ref(m),y_curr(m),theta_ref_raw(r),theta_ref_sat(r),theta_curr(r),Trial,V_motor(V)
0,0.10000,0.39408,1.22533,0.70000,-1.00356,1,-7.39928
4,0.10000,0.39408,1.22533,0.70000,-1.00356,1,-7.39943
8,0.10000,0.39408,1.22533,0.70000,-1.00356,1,-7.38141
16,0.10000,0.39408,1.22533,0.70000,-0.95993,1,-7.27014
20,0.10000,0.39408,1.22533,0.70000,-0.94539,1,-7.28556
24,0.10000,0.39408,1.22533,0.70000,-0.91630,1,-7.26530
32,0.10000,0.39408,1.22533,0.70000,-0.87266,1,-7.33911
36,0.10000,0.39408,1.22533,0.70000,-0.84358,1,-7.37029
44,0.10000,0.39408,1.22533,0.70000,-0.79994,1,-7.53441
48,0.10000,0.39408,1.22533,0.70000,-0.77085,1,-7.60021
52,0.10000,0.39408,1.22533,0.70000,-0.72722,1,-7.61051
56,0.10000,0.39408,1.22533,0.70000,-0.69813,1,-7.69348
64,0.10000,0.39408,1.22533,0.70000,-0.65450,1,-7.94463
68,0.10000,0.39408,1.22533,0.70000,-0.61087,1,-7.98827
72,0.10000,0.39408,1.22533,0.70000,-0.56723,1,-8.00061
80,0.10000,0.39408,1.22533,0.70000,-0.50905,1,-8.07475
84,0.10000,0.39408,1.22533,0.70000,-0.47997,1,-7.96563
92,0.10000,0.39408,1.22533,0.70000,-0.40724,1,-8.70680
96,0.10000,0.39408,1.22533,0.70000,-0.36361,1,-8.04566
100,0.10000,0.39408,1.22533,0.70000,-0.31998,1,-7.04658
108,0.10000,0.39408,1.22533,0.70000,-0.27634,1,-5.19765
112,0.10000,0.39408,1.22533,0.70000,-0.24725,1,-4.46093
116,0.10000,0.39408,1.22533,0.70000,-0.20362,1,-3.85792
124,0.10000,0.39408,1.22533,0.70000,-0.14544,1,-3.23506
128,0.10000,0.39408,1.22533,0.70000,-0.11636,1,-3.10066
136,0.10000,0.39408,1.22533,0.70000,-0.05818,1,-3.00038
140,0.10000,0.39408,1.22533,0.70000,-0.04363,1,-3.05031
144,0.10000,0.39408,1.22533,0.70000,-0.01454,1,-3.05844
152,0.10000,0.39408,1.22533,0.70000,0.04363,1,-3.09031
156,0.10000,0.39408,1.22533,0.70000,0.08727,1,-3.01662
160,0.10000,0.39408,1.22533,0.70000,0.05818,1,-3.21483
168,0.10000,0.39408,1.22533,0.70000,0.05818,1,-3.35822
172,0.10000,0.39408,1.22533,0.70000,0.08727,1,-3.29244
176,0.10000,0.39408,1.22533,0.70000,0.10181,1,-3.26813
184,0.10000,0.39408,1.22533,0.70000,0.14544,1,-3.14395
188,0.10000,0.39408,1.22533,0.70000,0.15999,1,-3.09450
192,0.10000,0.39408,1.22533,0.70000,0.18908,1,-3.00423
200,0.10000,0.39408,1.22533,0.70000,0.23271,1,-2.83236
204,0.10000,0.39408,1.22533,0.70000,0.20362,1,-2.92926
208,0.10000,0.39408,1.22533,0.70000,0.24725,1,-2.73727
216,0.10000,0.39408,1.22533,0.70000,0.27634,1,-2.55475
220,0.10000,0.39408,1.22533,0.70000,0.29089,1,-2.44652
224,0.10000,0.39408,1.22533,0.70000,0.29089,1,-2.42510
232,0.10000,0.39408,1.22533,0.70000,0.36361,1,-2.09987
236,0.10000,0.39408,1.22533,0.70000,0.37815,1,-2.02535
240,0.10000,0.39408,1.22533,0.70000,0.39270,1,-1.93612
248,0.10000,0.39408,1.22533,0.70000,0.37815,1,-1.96428
252,0.10000,0.39408,1.22533,0.70000,0.36361,1,-2.03420
256,0.10000,0.39408,1.22533,0.70000,0.40724,1,-1.86283
264,0.10000,0.39408,1.22533,0.70000,0.40724,1,-1.81697
268,0.10000,0.39408,1.22533,0.70000,0.40724,1,-1.77784
272,0.10000,0.39408,1.22533,0.70000,0.45088,1,-1.58601
280,0.10000,0.39408,1.22533,0.70000,0.45088,1,-1.57408
284,0.10000,0.39408,1.22533,0.70000,0.46542,1,-1.49985
288,0.10000,0.39408,1.22533,0.70000,0.46542,1,-1.50561
296,0.10000,0.39408,1.22533,0.70000,0.49451,1,-1.43096
300,0.10000,0.39408,1.22533,0.70000,0.49451,1,-1.42977
308,0.10000,0.39408,1.22533,0.70000,0.49451,1,-1.42760
312,0.10000,0.39408,1.22533,0.70000,0.50905,1,-1.38077
316,0.10000,0.39211,1.22533,0.70000,0.50905,1,-1.34711
324,0.10000,0.38520,1.22533,0.70000,0.50905,1,-1.37099
328,0.10000,0.38520,1.22533,0.70000,0.52360,1,-1.33145
332,0.10000,0.38618,1.22533,0.70000,0.52360,1,-1.36114
336,0.10000,0.38717,1.22533,0.70000,0.53814,1,-1.32369
344,0.10000,0.38717,1.22533,0.70000,0.53814,1,-1.31814
348,0.10000,0.38717,1.22533,0.70000,0.55269,1,-1.23942
356,0.10000,0.37632,1.22533,0.70000,0.55269,1,-1.21881
360,0.10000,0.37632,0.87664,0.70000,0.62541,1,-0.89829
364,0.10000,0.37829,0.87664,0.70000,0.58178,1,-1.02993
372,0.10000,0.37039,0.87664,0.70000,0.58178,1,-1.07465
376,0.10000,0.37039,0.87664,0.70000,0.58178,1,-1.08897
380,0.10000,0.37039,0.87664,0.70000,0.58178,1,-1.09738
388,0.10000,0.37237,0.87664,0.70000,0.58178,1,-1.07608
392,0.10000,0.37434,0.87664,0.70000,0.58178,1,-1.07447
396,0.10000,0.37434,0.87664,0.70000,0.59632,1,-1.01711
404,0.10000,0.36546,0.87664,0.70000,0.61087,1,-0.94673
408,0.10000,0.36546,0.87664,0.70000,0.62541,1,-0.88729
412,0.10000,0.36546,0.87664,0.70000,0.62541,1,-0.88649
420,0.10000,0.36743,0.87664,0.70000,0.62541,1,-0.86949
424,0.10000,0.36743,0.87664,0.70000,0.61087,1,-0.91585
428,0.10000,0.36743,0.87664,0.70000,0.61087,1,-0.91185
436,0.10000,0.36941,0.87664,0.70000,0.63995,1,-0.78865
440,0.10000,0.36941,0.87664,0.70000,0.65450,1,-0.75476
444,0.10000,0.36941,0.87664,0.70000,0.62541,1,-0.86240
452,0.10000,0.36941,0.87664,0.70000,0.65450,1,-0.70615
456,0.10000,0.35362,0.87664,0.70000,0.66904,1,-0.67017
460,0.10000,0.35263,0.87664,0.70000,0.66904,1,-0.69155
468,0.10000,0.35658,0.87664,0.70000,0.65450,1,-0.77017
472,0.10000,0.36053,0.87664,0.70000,0.65450,1,-0.76964
